ID,ApplicantIncome
318,2058
319,3541
320,10000
321,2400
322,4342
323,3601
324,3166
325,15000
326,8666
327,4917
328,5818
329,4333
330,2500
331,4384
332,2935
333,2833
334,63337
335,9833
336,5503
337,5250
338,2500
339,1830
340,4160
341,2647
342,2378
343,4554
344,3173
345,2583
346,2499
347,3523
348,3083
349,6333
350,2625
351,9083
352,8750
353,2666
354,5500
355,2423
356,3813
357,8333
358,3875
359,3000
360,5167
361,4723
362,5000
363,4750
364,3013
365,6822
366,6216
367,2500
368,5124
369,6325
370,19730
371,15759
372,5185
373,9323
374,3062
375,2764
376,4817
377,8750
378,4310
379,3069
380,5391
381,3333
382,5941
383,6000
384,7167
385,4566
386,3667
387,2346
388,3010
389,2333
390,5488
391,9167
392,9504
393,2583
394,1993
395,3100
396,3276
397,3180
398,3033
399,3902
400,1500
401,2889
402,2755
403,2500
404,1963
405,7441
406,4547
407,2167
408,2213
409,8300
410,81000
411,3867
412,6256
413,6096
414,2253
415,2149
416,2995
417,2600
418,1600
419,1025
420,3246
421,5829
422,2720
423,1820
424,7250
425,14880
426,2666
427,4606
428,5935
429,2920
430,2717
431,8624
432,6500
433,12876
434,2425
435,3750
436,10047
437,1926
438,2213
439,10416
440,7142
441,3660
442,7901
443,4707
444,37719
445,7333
446,3466
447,4652
448,3539
449,3340
450,2769
451,2309
452,1958
453,3948
454,2483
455,7085
456,3859
457,4301
458,3708
459,4354
460,8334
461,2083
462,7740
463,3015
464,5191
465,4166
466,6000
467,2947
468,16692
469,210
470,4333
471,3450
472,2653
473,4691
474,2500
475,5532
476,16525
477,6700
478,2873
479,16667
480,2947
481,4350
482,3095
483,2083
484,10833
485,8333
486,1958
487,3547
488,18333
489,4583
490,2435
491,2699
492,5333
493,3691
494,17263
495,3597
496,3326
497,2600
498,4625
499,2895
500,6283
501,645
502,3159
503,4865
504,4050
505,3814
506,3510
507,20833
508,3583
509,2479
510,13262
511,3598
512,6065
513,3283
514,2130
515,5815
516,3466
517,2031
518,3074
519,4683
520,3400
521,2192
522,2500
523,5677
524,7948
525,4680
526,17500
527,3775
528,5285
529,2679
530,6783
531,1025
532,4281
533,3588
534,11250
535,18165
536,2550
537,6133
538,3617
539,2917
540,6417
541,4608
542,2138
543,3652
544,2239
545,3017
546,2768
547,3358
548,2526
549,5000
550,2785
551,6633
552,2492
553,3333
554,2454
555,3593
556,5468
557,2667
558,10139
559,3887
560,4180
561,3675
562,19484
563,5923
564,5800
565,8799
566,4467
567,3333
568,3400
569,2378
570,3166
571,3417
572,5116
573,16666
574,6125
575,6406
576,3159
577,3087
578,3229
579,1782
580,3182
581,6540
582,1836
583,3166
584,1880
585,2787
586,4283
587,2297
588,2165
589,4750
590,2726
591,3000
592,6000
593,9357
594,3859
595,16120
596,3833
597,6383
598,2987
599,9963
600,5780
601,416
602,2894
603,5703
604,3676
605,12000
606,2400
607,3400
608,3987
609,3232
610,2900
611,4106
612,8072
613,7583
614,4583
615,4584
616,3400
617,3987
618,4400
619,5300
620,10050
